position,name,left,width,top,height,light
T04A1,cvi,55,290,55,290,131.9395006
T04A2,col-0,58,290,335,290,150.5255682
T04A3,cvi,60,290,615,290,166.796875
T04A4,cvi,60,290,900,290,172.1778409
T04A5,cvi,60,290,1203,290,174.2586228
T04B1,cvi,355,290,42,290,126.1818182
T04B2,cvi,355,290,330,290,151.068842
T04B3,col-0,358,290,620,290,166.0771567
T04B4,col-0,362,290,905,290,170.9616717
T04B5,col-0,365,290,1200,290,172.6952425
T04C1,cvi,655,290,40,290,126.4802697
T04C2,col-0,655,290,325,290,150.3963068
T04C3,cvi,655,290,615,290,166.325132
T04C4,col-0,652,290,902,290,173.0590709
T04C5,cvi,665,290,1195,290,175.215493
T04D1,col-0,950,290,43,290,124.137324
T04D2,col-0,950,290,325,290,150.5184659
T04D3,col-0,950,290,610,290,166.7852273
T04D4,cvi,950,290,900,290,174.5229393
T04D5,col-0,952,290,1195,290,177.3894366
T05A1,cvi,1328,290,45,290,133.8448384
T05A2,cvi,1335,290,332,290,151.890641
T05A3,col-0,1333,290,622,290,167.3389205
T05A4,cvi,1340,290,905,290,174.9289773
T05A5,col-0,1338,290,1195,290,178
T05B1,col-0,1631,290,25,290,126.7481114
T05B2,col-0,1630,290,325,290,151.034311
T05B3,col-0,1635,290,610,290,166.3494838
T05B4,cvi,1631,290,895,290,173.5713148
T05B5,cvi,1635,290,1205,290,176.1
T05C1,col-0,1930,290,32,290,125.6420295
T05C2,cvi,1927,290,320,290,148.6311419
T05C3,cvi,1930,290,615,290,164.0227233
T05C4,col-0,1927,290,905,290,170.4461788
T05C5,cvi,1933,290,1205,290,172.6024648
T05D1,col-0,2223,290,42,290,122.9289653
T05D2,col-0,2220,290,325,290,145.8006802
T05D3,cvi,2225,290,615,290,159.7931458
T05D4,col-0,2225,290,910,290,164.668714
T05D5,cvi,2230,290,1195,290,167.5299296
T06A1,cvi,2595,290,40,290,129.5942081
T06A2,col-0,2600,290,332,290,145.4360715
T06A3,cvi,2600,290,615,290,157.9799376
T06A4,cvi,2600,290,905,290,162.1144886
T06A5,cvi,2605,290,1190,290,164.4764085
T06B1,cvi,2880,290,46,290,125.1097431
T06B2,cvi,2900,290,325,290,148.0677617
T06B3,col-0,2890,290,615,290,160.4419094
T06B4,col-0,2900,290,905,290,165.8327985
T06B5,col-0,2900,290,1187,290,166.9054617
T06C1,cvi,3185,290,42,290,126.4735275
T06C2,col-0,3193,290,325,290,149.8878321
T06C3,cvi,3195,290,610,290,163.0007122
T06C4,col-0,3190,290,900,290,169.4419534
T06C5,cvi,3195,290,1185,290,169.9262124
T06D1,col-0,3483,290,40,290,127.8808179
T06D2,col-0,3490,290,325,290,150.4221591
T06D3,col-0,3490,290,622,290,165.3389205
T06D4,cvi,3495,290,905,290,171.7253521
T06D5,col-0,3495,290,1190,290,171.8961268
T07A1,col-0,3867,290,42,290,126.9705546
T07A2,col-0,3875,290,340,290,150.1042414
T07A3,cvi,3875,290,630,290,164.0603633
T07A4,cvi,3880,290,907,290,168.7102353
T07A5,col-0,3880,290,1190,290,170.7690141
T07B1,col-0,4160,290,40,290,125.8732955
T07B2,col-0,4170,290,330,290,147.4480434
T07B3,cvi,4175,290,620,290,161.7642726
T07B4,cvi,4175,290,910,290,166.5877281
T07B5,cvi,4180,290,1200,290,168.0478873
T07C1,col-0,4460,290,43,290,125.7475192
T07C2,cvi,4467,290,327,290,146.2130682
T07C3,cvi,4475,290,615,290,160.3122759
T07C4,col-0,4470,290,905,290,165.4574464
T07C5,col-0,4475,290,1195,290,166.5176056
T07D1,cvi,4760,290,45,290,129.0234475
T07D2,cvi,4760,290,330,290,146.3015645
T07D3,col-0,4765,290,618,290,160.1095151
T07D4,cvi,4765,290,905,290,165.5930098
T07D5,col-0,4768,290,1195,290,167.0228873
T13A1,col-0,63,290,1583,290,174.7887324
T13A2,cvi,65,290,1870,290,173.4704225
T13A3,cvi,65,290,2160,290,169.7022167
T13A4,col-0,60,290,2445,290,156.9897727
T13A5,cvi,60,290,2735,290,131.5272727
T13B1,col-0,365,290,1583,290,174.1672535
T13B2,col-0,360,290,1870,290,173.4577465
T13B3,cvi,360,290,2155,290,169.7711508
T13B4,cvi,365,290,2445,290,158.1808099
T13B5,cvi,365,290,2735,290,135.5006082
T13C1,col-0,660,290,1583,290,176.3661972
T13C2,col-0,650,290,1870,290,176.3661972
T13C3,col-0,655,290,2155,290,171.7289213
T13C4,cvi,655,290,2445,290,159.9318182
T13C5,col-0,660,290,2735,290,135.337388
T13D1,Checker,960,315,1605,230,179.2450704
T13D2,col-0,945,290,1875,290,178.7391445
T13D3,col-0,955,290,2158,290,173.8255081
T13D4,cvi,955,290,2445,290,160.2372159
T13D5,cvi,955,290,2735,290,135.115601
T14A1,cvi,1300,290,1620,290,178.5880282
T14A2,cvi,1348,290,1872,290,177.7338068
T14A3,col-0,1352,290,2166,290,169.3678337
T14A4,cvi,1354,290,2458,290,154.0978993
T14A5,col-0,1310,290,2740,290,128.0763084
T14B1,col-0,1647,290,1597,290,176.5952945
T14B2,col-0,1644,290,1882,290,174.6387604
T14B3,col-0,1647,290,2169,290,166.9431018
T14B4,cvi,1653,290,2455,290,151.756138
T14B5,cvi,1655,290,2757,290,126.7818182
T14C1,col-0,1942,290,1578,290,173.5654929
T14C2,cvi,1940,290,1863,290,171.6912852
T14C3,cvi,1940,290,2166,290,165.8428337
T14C4,col-0,1940,290,2458,290,151.2036012
T14C5,cvi,1944,290,2747,290,128.4911332
T14D1,col-0,2234,290,1582,290,169.2471831
T14D2,col-0,2236,290,1867,290,169.1450704
T14D3,cvi,2235,290,2163,290,165.4579546
T14D4,col-0,2235,290,2458,290,153.3849392
T14D5,cvi,2237,290,2750,290,130.3645006
T15A1,col-0,2636,290,1582,290,165.2014084
T15A2,cvi,2636,290,1873,290,165.4729994
T15A3,cvi,2632,290,2166,290,161.6255042
T15A4,col-0,2631,290,2455,290,150.9350112
T15A5,cvi,2590,290,2725,290,129.7492898
T15B1,col-0,2927,290,1577,290,166.3338028
T15B2,col-0,2925,290,1863,290,166.0557218
T15B3,cvi,2919,290,2162,290,161.4823864
T15B4,cvi,2920,290,2456,290,149.4492838
T15B5,cvi,2925,290,2746,290,128.5328745
T15C1,col-0,3224,290,1584,290,168.9947183
T15C2,col-0,3225,290,1870,290,167.512464
T15C3,col-0,3222,290,2166,290,161.7786732
T15C4,cvi,3219,290,2458,290,148.2398007
T15C5,col-0,3221,290,2754,290,127.075
T15D1,Checker,3518,290,1579,290,171.6292254
T15D2,col-0,3510,290,1875,290,169.1432858
T15D3,col-0,3508,290,2166,290,161.978045
T15D4,cvi,3508,290,2454,290,148.0448863
T15D5,cvi,3511,290,2745,290,127.4415653
T16A1,col-0,3910,290,1580,290,168.6408451
T16A2,cvi,3900,290,1870,290,168.1779569
T16A3,col-0,3897,290,2161,290,161.3757202
T16A4,cvi,3897,290,2454,290,148.9862316
T16A5,cvi,3909,290,2745,290,128.0418694
T16B1,cvi,4197,290,1582,290,165.8112676
T16B2,col-0,4188,290,1870,290,166.675
T16B3,col-0,4188,290,2163,290,162.7369318
T16B4,col-0,4191,290,2455,290,150.3744478
T16B5,cvi,4195,290,2745,290,128.746799
T16C1,cvi,4485,290,1579,290,165.5070423
T16C2,cvi,4477,290,1867,290,166
T16C3,col-0,4482,290,2161,290,163.2602273
T16C4,col-0,4487,290,2453,290,151.44379
T16C5,col-0,4488,290,2746,290,129.7641525
T16D1,col-0,4780,290,1630,290,167.5834447
T16D2,cvi,4770,290,1867,290,167.2570422
T16D3,cvi,4770,290,2156,290,164.071987
T16D4,cvi,4772,290,2443,290,152.8774008
T16D5,col-0,4780,290,2730,290,130.7212468
